КодЗаказа,КодКлиента,КодСотрудника,ДатаРазмещения,ДатаНазначения,ДатаИсполнения,Доставка,СтоимостьДоставки,НазваниеПолучателя,АдресПолучателя,ГородПолучателя,ОбластьПолучателя,ИндексПолучателя,СтранаПолучателя
10261,"QUEDE",4,"07/19/96 00:00:00","08/16/96 00:00:00","07/30/96 00:00:00",2,3.0500,"Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10262,"RATTC",8,"07/22/96 00:00:00","08/19/96 00:00:00","07/25/96 00:00:00",3,48.2900,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10263,"ERNSH",9,"07/23/96 00:00:00","08/20/96 00:00:00","07/31/96 00:00:00",3,146.0600,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10264,"FOLKO",6,"07/24/96 00:00:00","08/21/96 00:00:00","08/23/96 00:00:00",3,3.6700,"Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10265,"BLONP",2,"07/25/96 00:00:00","08/22/96 00:00:00","08/12/96 00:00:00",1,55.2800,"Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10266,"WARTH",3,"07/26/96 00:00:00","09/06/96 00:00:00","07/31/96 00:00:00",3,25.7300,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10267,"FRANK",4,"07/29/96 00:00:00","08/26/96 00:00:00","08/06/96 00:00:00",1,208.5800,"Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10268,"GROSR",8,"07/30/96 00:00:00","08/27/96 00:00:00","08/02/96 00:00:00",3,66.2900,"GROSELLA-Restaurante","5S Ave. Los Palos Grandes","Каракас","DF","1081","Венесуэлла"
10269,"WHITC",5,"07/31/96 00:00:00","08/14/96 00:00:00","08/09/96 00:00:00",1,4.5600,"White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10270,"WARTH",1,"08/01/96 00:00:00","08/29/96 00:00:00","08/02/96 00:00:00",1,136.5400,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10271,"SPLIR",6,"08/01/96 00:00:00","08/29/96 00:00:00","08/30/96 00:00:00",2,4.5400,"Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10272,"RATTC",6,"08/02/96 00:00:00","08/30/96 00:00:00","08/06/96 00:00:00",2,98.0300,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10273,"QUICK",3,"08/05/96 00:00:00","09/02/96 00:00:00","08/12/96 00:00:00",3,76.0700,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10274,"VINET",6,"08/06/96 00:00:00","09/03/96 00:00:00","08/16/96 00:00:00",1,6.0100,"Vins et alcools Chevalier","59 rue de l'Abbaye","Реймс",,"51100","Франция"
10275,"MAGAA",1,"08/07/96 00:00:00","09/04/96 00:00:00","08/09/96 00:00:00",1,26.9300,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10276,"TORTU",8,"08/08/96 00:00:00","08/22/96 00:00:00","08/14/96 00:00:00",3,13.8400,"Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10277,"MORGK",2,"08/09/96 00:00:00","09/06/96 00:00:00","08/13/96 00:00:00",3,125.7700,"Morgenstern Gesundkost","Heerstr. 22","Лейпциг",,"04179","Германия"
10278,"BERGS",8,"08/12/96 00:00:00","09/09/96 00:00:00","08/16/96 00:00:00",2,92.6900,"Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10279,"LEHMS",8,"08/13/96 00:00:00","09/10/96 00:00:00","08/16/96 00:00:00",2,25.8300,"Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10280,"BERGS",2,"08/14/96 00:00:00","09/11/96 00:00:00","09/12/96 00:00:00",1,8.9800,"Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10281,"ROMEY",4,"08/14/96 00:00:00","08/28/96 00:00:00","08/21/96 00:00:00",1,2.9400,"Romero y tomillo","Gran Via, 1","Мадрид",,"28001","Испания"
10282,"ROMEY",4,"08/15/96 00:00:00","09/12/96 00:00:00","08/21/96 00:00:00",1,12.6900,"Romero y tomillo","Gran Via, 1","Мадрид",,"28001","Испания"
10283,"LILAS",3,"08/16/96 00:00:00","09/13/96 00:00:00","08/23/96 00:00:00",3,84.8100,"LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10284,"LEHMS",4,"08/19/96 00:00:00","09/16/96 00:00:00","08/27/96 00:00:00",1,76.5600,"Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10285,"QUICK",1,"08/20/96 00:00:00","09/17/96 00:00:00","08/26/96 00:00:00",2,76.8300,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10286,"QUICK",8,"08/21/96 00:00:00","09/18/96 00:00:00","08/30/96 00:00:00",3,229.2400,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10287,"RICAR",8,"08/22/96 00:00:00","09/19/96 00:00:00","08/28/96 00:00:00",3,12.7600,"Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10288,"REGGC",4,"08/23/96 00:00:00","09/20/96 00:00:00","09/03/96 00:00:00",1,7.4500,"Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10289,"BSBEV",7,"08/26/96 00:00:00","09/23/96 00:00:00","08/28/96 00:00:00",3,22.7700,"B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10290,"COMMI",8,"08/27/96 00:00:00","09/24/96 00:00:00","09/03/96 00:00:00",1,79.7000,"Comercio Mineiro","Av. dos Lusiadas, 23","Сан-Пауло","SP","05432-043","Бразилия"
10291,"QUEDE",6,"08/27/96 00:00:00","09/24/96 00:00:00","09/04/96 00:00:00",2,6.4000,"Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10292,"TRADH",1,"08/28/96 00:00:00","09/25/96 00:00:00","09/02/96 00:00:00",2,1.3500,"Tradicao Hipermercados","Av. Ines de Castro, 414","Сан-Пауло","SP","05634-030","Бразилия"
10293,"TORTU",1,"08/29/96 00:00:00","09/26/96 00:00:00","09/11/96 00:00:00",3,21.1800,"Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10294,"RATTC",4,"08/30/96 00:00:00","09/27/96 00:00:00","09/05/96 00:00:00",2,147.2600,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10295,"VINET",2,"09/02/96 00:00:00","09/30/96 00:00:00","09/10/96 00:00:00",2,1.1500,"Vins et alcools Chevalier","59 rue de l'Abbaye","Реймс",,"51100","Франция"
10296,"LILAS",6,"09/03/96 00:00:00","10/01/96 00:00:00","09/11/96 00:00:00",1,0.1200,"LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10297,"BLONP",5,"09/04/96 00:00:00","10/16/96 00:00:00","09/10/96 00:00:00",2,5.7400,"Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10298,"HUNGO",6,"09/05/96 00:00:00","10/03/96 00:00:00","09/11/96 00:00:00",2,168.2200,"Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10299,"RICAR",4,"09/06/96 00:00:00","10/04/96 00:00:00","09/13/96 00:00:00",2,29.7600,"Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10300,"MAGAA",2,"09/09/96 00:00:00","10/07/96 00:00:00","09/18/96 00:00:00",2,17.6800,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10301,"WANDK",8,"09/09/96 00:00:00","10/07/96 00:00:00","09/17/96 00:00:00",2,45.0800,"Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10302,"SUPRD",4,"09/10/96 00:00:00","10/08/96 00:00:00","10/09/96 00:00:00",2,6.2700,"Supremes delices","Boulevard Tirou, 255","Шарлеруа",,"B-6000","Бельгия"
10303,"GODOS",7,"09/11/96 00:00:00","10/09/96 00:00:00","09/18/96 00:00:00",2,107.8300,"Godos Cocina Tipica","C/ Romero, 33","Севилья",,"41101","Испания"
10304,"TORTU",1,"09/12/96 00:00:00","10/10/96 00:00:00","09/17/96 00:00:00",2,63.7900,"Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10305,"OLDWO",8,"09/13/96 00:00:00","10/11/96 00:00:00","10/09/96 00:00:00",3,257.6200,"Old World Delicatessen","2743 Bering St.","Анкоридж","AK","99508","США"
10306,"ROMEY",1,"09/16/96 00:00:00","10/14/96 00:00:00","09/23/96 00:00:00",3,7.5600,"Romero y tomillo","Gran Via, 1","Мадрид",,"28001","Испания"
10307,"LONEP",2,"09/17/96 00:00:00","10/15/96 00:00:00","09/25/96 00:00:00",2,0.5600,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Портленд","OR","97219","США"
10308,"ANATR",7,"09/18/96 00:00:00","10/16/96 00:00:00","09/24/96 00:00:00",2,1.6100,"Ana Trujillo Emparedados y helados","Avda. de la Constitucion 2222","Мехико",,"05021","Мексика"
10309,"HUNGO",3,"09/19/96 00:00:00","10/17/96 00:00:00","10/23/96 00:00:00",1,47.3000,"Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10310,"THEBI",8,"09/20/96 00:00:00","10/18/96 00:00:00","09/27/96 00:00:00",2,17.5200,"The Big Cheese","89 Jefferson Way
Suite 2","Портленд","OR","97201","США"
10311,"DUMON",1,"09/20/96 00:00:00","10/04/96 00:00:00","09/26/96 00:00:00",3,24.6900,"Du monde entier","67, rue des Cinquante Otages","Нант",,"44000","Франция"
10312,"WANDK",2,"09/23/96 00:00:00","10/21/96 00:00:00","10/03/96 00:00:00",2,40.2600,"Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10313,"QUICK",2,"09/24/96 00:00:00","10/22/96 00:00:00","10/04/96 00:00:00",2,1.9600,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10314,"RATTC",1,"09/25/96 00:00:00","10/23/96 00:00:00","10/04/96 00:00:00",2,74.1600,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10315,"ISLAT",4,"09/26/96 00:00:00","10/24/96 00:00:00","10/03/96 00:00:00",2,41.7600,"Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10316,"RATTC",1,"09/27/96 00:00:00","10/25/96 00:00:00","10/08/96 00:00:00",3,150.1500,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10317,"LONEP",6,"09/30/96 00:00:00","10/28/96 00:00:00","10/10/96 00:00:00",1,12.6900,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Портленд","OR","97219","США"
10318,"ISLAT",8,"10/01/96 00:00:00","10/29/96 00:00:00","10/04/96 00:00:00",2,4.7300,"Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10319,"TORTU",7,"10/02/96 00:00:00","10/30/96 00:00:00","10/11/96 00:00:00",3,64.5000,"Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10320,"WARTH",5,"10/03/96 00:00:00","10/17/96 00:00:00","10/18/96 00:00:00",3,34.5700,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10321,"ISLAT",3,"10/03/96 00:00:00","10/31/96 00:00:00","10/11/96 00:00:00",2,3.4300,"Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10322,"PERIC",7,"10/04/96 00:00:00","11/01/96 00:00:00","10/23/96 00:00:00",3,0.4000,"Pericles Comidas clasicas","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика"
10323,"KOENE",4,"10/07/96 00:00:00","11/04/96 00:00:00","10/14/96 00:00:00",1,4.8800,"Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10324,"SAVEA",9,"10/08/96 00:00:00","11/05/96 00:00:00","10/10/96 00:00:00",1,214.2700,"Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10325,"KOENE",1,"10/09/96 00:00:00","10/23/96 00:00:00","10/14/96 00:00:00",3,64.8600,"Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10326,"BOLID",4,"10/10/96 00:00:00","11/07/96 00:00:00","10/14/96 00:00:00",2,77.9200,"Bolido Comidas preparadas","C/ Araquil, 67","Мадрид",,"28023","Испания"
10327,"FOLKO",2,"10/11/96 00:00:00","11/08/96 00:00:00","10/14/96 00:00:00",1,63.3600,"Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10328,"FURIB",4,"10/14/96 00:00:00","11/11/96 00:00:00","10/17/96 00:00:00",3,87.0300,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10329,"SPLIR",4,"10/15/96 00:00:00","11/26/96 00:00:00","10/23/96 00:00:00",2,191.6700,"Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10330,"LILAS",3,"10/16/96 00:00:00","11/13/96 00:00:00","10/28/96 00:00:00",1,12.7500,"LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10331,"BONAP",9,"10/16/96 00:00:00","11/27/96 00:00:00","10/21/96 00:00:00",1,10.1900,"Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10332,"MEREP",3,"10/17/96 00:00:00","11/28/96 00:00:00","10/21/96 00:00:00",2,52.8400,"Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10333,"WARTH",5,"10/18/96 00:00:00","11/15/96 00:00:00","10/25/96 00:00:00",3,0.5900,"Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10334,"VICTE",8,"10/21/96 00:00:00","11/18/96 00:00:00","10/28/96 00:00:00",2,8.5600,"Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10335,"HUNGO",7,"10/22/96 00:00:00","11/19/96 00:00:00","10/24/96 00:00:00",2,42.1100,"Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10336,"PRINI",7,"10/23/96 00:00:00","11/20/96 00:00:00","10/25/96 00:00:00",2,15.5100,"Princesa Isabel Vinhos","Estrada da saude n. 58","Лиссабон",,"1756","Португалия"
10337,"FRANK",4,"10/24/96 00:00:00","11/21/96 00:00:00","10/29/96 00:00:00",3,108.2600,"Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10338,"OLDWO",4,"10/25/96 00:00:00","11/22/96 00:00:00","10/29/96 00:00:00",3,84.2100,"Old World Delicatessen","2743 Bering St.","Анкоридж","AK","99508","США"
10339,"MEREP",2,"10/28/96 00:00:00","11/25/96 00:00:00","11/04/96 00:00:00",2,15.6600,"Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10340,"BONAP",1,"10/29/96 00:00:00","11/26/96 00:00:00","11/08/96 00:00:00",3,166.3100,"Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10341,"SIMOB",7,"10/29/96 00:00:00","11/26/96 00:00:00","11/05/96 00:00:00",3,26.7800,"Simons bistro","Vinbaeltet 34","Копенгаген",,"1734","Дания"
10342,"FRANK",4,"10/30/96 00:00:00","11/13/96 00:00:00","11/04/96 00:00:00",2,54.8300,"Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10343,"LEHMS",4,"10/31/96 00:00:00","11/28/96 00:00:00","11/06/96 00:00:00",1,110.3700,"Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10344,"WHITC",4,"11/01/96 00:00:00","11/29/96 00:00:00","11/05/96 00:00:00",2,23.2900,"White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10345,"QUICK",2,"11/04/96 00:00:00","12/02/96 00:00:00","11/11/96 00:00:00",2,249.0600,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10346,"RATTC",3,"11/05/96 00:00:00","12/17/96 00:00:00","11/08/96 00:00:00",3,142.0800,"Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10347,"FAMIA",4,"11/06/96 00:00:00","12/04/96 00:00:00","11/08/96 00:00:00",3,3.1000,"Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10348,"WANDK",4,"11/07/96 00:00:00","12/05/96 00:00:00","11/15/96 00:00:00",2,0.7800,"Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10349,"SPLIR",7,"11/08/96 00:00:00","12/06/96 00:00:00","11/15/96 00:00:00",1,8.6300,"Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10350,"LAMAI",6,"11/11/96 00:00:00","12/09/96 00:00:00","12/03/96 00:00:00",2,64.1900,"La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10351,"ERNSH",1,"11/11/96 00:00:00","12/09/96 00:00:00","11/20/96 00:00:00",1,162.3300,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10352,"FURIB",3,"11/12/96 00:00:00","11/26/96 00:00:00","11/18/96 00:00:00",3,1.3000,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10353,"PICCO",7,"11/13/96 00:00:00","12/11/96 00:00:00","11/25/96 00:00:00",3,360.6300,"Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10354,"PERIC",8,"11/14/96 00:00:00","12/12/96 00:00:00","11/20/96 00:00:00",3,53.8000,"Pericles Comidas clasicas","Calle Dr. Jorge Cash 321","Мехико",,"05033","Мексика"
10355,"AROUT",6,"11/15/96 00:00:00","12/13/96 00:00:00","11/20/96 00:00:00",1,41.9500,"Around the Horn","Brook Farm
Stratford St. Mary","Колчестер","Essex","CO7 6JX","Великобритания"
10356,"WANDK",6,"11/18/96 00:00:00","12/16/96 00:00:00","11/27/96 00:00:00",2,36.7100,"Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10357,"LILAS",1,"11/19/96 00:00:00","12/17/96 00:00:00","12/02/96 00:00:00",3,34.8800,"LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10358,"LAMAI",5,"11/20/96 00:00:00","12/18/96 00:00:00","11/27/96 00:00:00",1,19.6400,"La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10359,"SEVES",5,"11/21/96 00:00:00","12/19/96 00:00:00","11/26/96 00:00:00",3,288.4300,"Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10360,"BLONP",4,"11/22/96 00:00:00","12/20/96 00:00:00","12/02/96 00:00:00",3,131.7000,"Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10361,"QUICK",1,"11/22/96 00:00:00","12/20/96 00:00:00","12/03/96 00:00:00",2,183.1700,"QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10362,"BONAP",8,"11/25/96 00:00:00","12/23/96 00:00:00","11/28/96 00:00:00",2,96.0400,"Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10363,"DRACD",4,"11/26/96 00:00:00","12/24/96 00:00:00","12/04/96 00:00:00",3,30.5400,"Drachenblut Delikatessen","Walserweg 21","Ахен",,"52066","Германия"
10364,"EASTC",1,"11/26/96 00:00:00","01/07/97 00:00:00","12/04/96 00:00:00",1,71.9700,"Eastern Connection","35 King George","Лондон",,"WX3 6FW","Великобритания"
10365,"ANTON",3,"11/27/96 00:00:00","12/25/96 00:00:00","12/02/96 00:00:00",2,22.0000,"Antonio Moreno Taqueria","Mataderos  2312","Мехико",,"05023","Мексика"
10366,"GALED",8,"11/28/96 00:00:00","01/09/97 00:00:00","12/30/96 00:00:00",2,10.1400,"Galeria del gastronomo","Rambla de Cataluna, 23","Барселона",,"8022","Испания"
10367,"VAFFE",7,"11/28/96 00:00:00","12/26/96 00:00:00","12/02/96 00:00:00",3,13.5500,"Vaffeljernet","Smagsloget 45","Орхус",,"8200","Дания"
10368,"ERNSH",2,"11/29/96 00:00:00","12/27/96 00:00:00","12/02/96 00:00:00",2,101.9500,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10369,"SPLIR",8,"12/02/96 00:00:00","12/30/96 00:00:00","12/09/96 00:00:00",2,195.6800,"Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10370,"CHOPS",6,"12/03/96 00:00:00","12/31/96 00:00:00","12/27/96 00:00:00",2,1.1700,"Chop-suey Chinese","Hauptstr. 31","Берн",,"3012","Швейцария"
10371,"LAMAI",1,"12/03/96 00:00:00","12/31/96 00:00:00","12/24/96 00:00:00",1,0.4500,"La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10372,"QUEEN",5,"12/04/96 00:00:00","01/01/97 00:00:00","12/09/96 00:00:00",2,890.7800,"Queen Cozinha","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия"
10373,"HUNGO",4,"12/05/96 00:00:00","01/02/97 00:00:00","12/11/96 00:00:00",3,124.1200,"Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10374,"WOLZA",1,"12/05/96 00:00:00","01/02/97 00:00:00","12/09/96 00:00:00",3,3.9400,"Wolski Zajazd","ul. Filtrowa 68","Варшава",,"01-012","Польша"
10375,"HUNGC",3,"12/06/96 00:00:00","01/03/97 00:00:00","12/09/96 00:00:00",2,20.1200,"Hungry Coyote Import Store","City Center Plaza
516 Main St.","Элгин","OR","97827","США"
10376,"MEREP",1,"12/09/96 00:00:00","01/06/97 00:00:00","12/13/96 00:00:00",2,20.3900,"Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10377,"SEVES",1,"12/09/96 00:00:00","01/06/97 00:00:00","12/13/96 00:00:00",3,22.2100,"Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10378,"FOLKO",5,"12/10/96 00:00:00","01/07/97 00:00:00","12/19/96 00:00:00",3,5.4400,"Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10379,"QUEDE",2,"12/11/96 00:00:00","01/08/97 00:00:00","12/13/96 00:00:00",1,45.0300,"Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10380,"HUNGO",8,"12/12/96 00:00:00","01/09/97 00:00:00","01/16/97 00:00:00",3,35.0300,"Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10381,"LILAS",3,"12/12/96 00:00:00","01/09/97 00:00:00","12/13/96 00:00:00",3,7.9900,"LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10382,"ERNSH",4,"12/13/96 00:00:00","01/10/97 00:00:00","12/16/96 00:00:00",1,94.7700,"Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10383,"AROUT",4,"12/16/96 00:00:00","01/13/97 00:00:00","12/18/96 00:00:00",3,34.2400,"Around the Horn","Brook Farm
Stratford St. Mary","Колчестер","Essex","CO7 6JX","Великобритания"
10384,"BERGS",3,"12/16/96 00:00:00","01/13/97 00:00:00","12/20/96 00:00:00",3,168.6400,"Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10385,"SPLIR",1,"12/17/96 00:00:00","01/14/97 00:00:00","12/23/96 00:00:00",2,30.9600,"Split Rail Beer & Ale","P.O. Box 555","Лендер","WY","82520","США"
10386,"FAMIA",9,"12/18/96 00:00:00","01/01/97 00:00:00","12/25/96 00:00:00",3,13.9900,"Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10387,"SANTG",1,"12/18/96 00:00:00","01/15/97 00:00:00","12/20/96 00:00:00",2,93.6300,"Sante Gourmet","Erling Skakkes gate 78","Ставерен",,"4110","Норвегия"
10388,"SEVES",2,"12/19/96 00:00:00","01/16/97 00:00:00","12/20/96 00:00:00",1,34.8600,"Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
