,КодЗаказа,КодТовара,Цена_x,Количество,Скидка,Марка,КодПоставщика,КодТипа,ЕдиницаИзмерения,Цена_y,НаСкладе,Ожидается,МинимальныйЗапас,ПоставкиПрекращены,Категория,Описание
21,10698,11,210.0,15,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
22,10726,11,210.0,5,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
23,10770,11,210.0,15,0.25,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
24,10797,11,210.0,20,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
25,10800,11,210.0,50,0.10000000099999999,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
26,10823,11,210.0,20,0.10000000099999999,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
27,10842,11,210.0,15,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
28,10862,11,210.0,25,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
29,10869,11,210.0,10,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
30,10889,11,210.0,40,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
31,10912,11,210.0,40,0.25,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
32,10926,11,210.0,2,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
33,10944,11,210.0,5,0.25,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
34,10986,11,210.0,30,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
35,10989,11,210.0,15,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
36,11043,11,210.0,10,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
37,11073,11,210.0,10,0.0,NuNuCa Nuss-Nougat-Creme,11,3,20 банок по 450 г,630.0,76,0,30,0,Кондитерские изделия,"Десерты, конфеты, джемы, муссы, сладкая выпечка"
38,10248,40,35.3,1,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
39,10267,40,147.0,50,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
40,10273,40,147.0,60,0.050000000700000005,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
41,10278,40,0.0,1,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
42,10285,40,147.0,40,0.200000003,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
43,10301,40,147.0,10,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
44,10303,40,147.0,40,0.10000000099999999,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
45,10347,40,147.0,4,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
46,10406,40,147.0,2,0.10000000099999999,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
47,10431,40,147.0,50,0.25,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
48,10448,40,147.0,20,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
49,10465,40,147.0,20,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
50,10474,40,147.0,21,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
51,10482,40,147.0,10,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
52,10484,40,147.0,10,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
53,10498,40,184.0,5,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
54,10522,40,184.0,25,0.200000003,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
55,10525,40,184.0,15,0.10000000099999999,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
56,10534,40,184.0,10,0.200000003,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
57,10535,40,184.0,10,0.10000000099999999,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
58,10572,40,184.0,50,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
59,10574,40,184.0,2,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
60,10607,40,184.0,42,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
61,10641,40,184.0,60,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
62,10658,40,184.0,70,0.050000000700000005,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
63,10659,40,184.0,24,0.050000000700000005,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
64,10663,40,184.0,30,0.050000000700000005,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
65,10684,40,184.0,20,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
66,10728,40,184.0,6,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
67,10744,40,184.0,50,0.200000003,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
68,10748,40,184.0,40,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
69,10754,40,184.0,3,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
70,10807,40,184.0,1,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
71,10811,40,184.0,30,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
72,10817,40,184.0,60,0.150000006,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
73,10837,40,184.0,25,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
74,10879,40,184.0,12,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
75,10895,40,184.0,91,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
76,10919,40,184.0,20,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
77,10978,40,184.0,10,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
78,11003,40,184.0,10,0.0,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
79,11038,40,184.0,5,0.200000003,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
80,11063,40,184.0,40,0.10000000099999999,Chartreuse verte,18,1,750 мл бутылка,810.0,69,0,5,0,Напитки,"Алкогольные и безалкогольные напитки, кофе, чай, пиво и пр."
81,10248,42,98.0,10,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
82,10309,42,112.0,2,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
83,10311,42,112.0,6,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
84,10332,42,112.0,10,0.200000003,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
85,10345,42,112.0,9,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
86,10404,42,112.0,40,0.050000000700000005,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
87,10463,42,112.0,50,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
88,10492,42,112.0,20,0.050000000700000005,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
89,10498,42,140.0,30,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
90,10516,42,140.0,20,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
91,10571,42,140.0,28,0.150000006,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
92,10588,42,140.0,100,0.200000003,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
93,10625,42,140.0,5,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
94,10652,42,140.0,20,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
95,10663,42,140.0,30,0.050000000700000005,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
96,10673,42,140.0,6,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
97,10680,42,140.0,40,0.25,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
98,10746,42,140.0,28,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
99,10767,42,140.0,2,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
100,10776,42,140.0,12,0.050000000700000005,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
101,10777,42,140.0,20,0.200000003,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
102,10845,42,140.0,42,0.10000000099999999,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
103,10856,42,140.0,20,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
104,10882,42,140.0,25,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
105,10923,42,140.0,10,0.200000003,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
106,10996,42,140.0,40,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
107,11002,42,140.0,24,0.150000006,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
108,11007,42,140.0,14,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
109,11013,42,140.0,4,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
110,11035,42,140.0,30,0.0,Jack's New England Clam Chowder,19,8,12 банок по 355 мл,434.25,85,0,10,0,Рыбопродукты,"Водоросли, крабы, устрицы, рыбы"
111,10248,61,345.0,4,0.050000000700000005,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
112,10418,61,228.0,16,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
113,10440,61,228.0,90,0.150000006,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
114,10455,61,228.0,25,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
115,10501,61,1530.0,1,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
116,10504,61,285.0,25,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
117,10513,61,285.0,15,0.200000003,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
118,10530,61,285.0,20,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
119,10550,61,285.0,10,0.10000000099999999,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
120,10595,61,285.0,120,0.25,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
121,10642,61,285.0,20,0.200000003,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
122,10716,61,285.0,10,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
123,10724,61,285.0,5,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
124,10735,61,285.0,20,0.10000000099999999,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
125,10769,61,285.0,20,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
126,10814,61,285.0,30,0.150000006,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
127,10880,61,285.0,30,0.200000003,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
128,10906,61,285.0,15,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
129,10910,61,285.0,5,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
130,10933,61,285.0,30,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
131,10990,61,285.0,66,0.150000006,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
132,10998,61,285.0,7,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
133,11034,61,285.0,6,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
134,11042,61,285.0,4,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
135,11052,61,285.0,10,0.200000003,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
136,11058,61,285.0,4,0.0,Camembert Pierrot,28,4,15 упаковок по 300 г,1540.0,22,10,10,0,Молочные продукты,"Сыры, творог, сметана и пр."
137,10248,72,348.0,5,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
138,10268,72,278.0,4,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
139,10269,72,278.0,20,0.050000000700000005,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
140,10272,72,278.0,24,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
141,10274,72,278.0,7,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
142,10283,72,278.0,3,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
143,10297,72,278.0,20,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
144,10325,72,278.0,40,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
145,10330,72,278.0,25,0.150000006,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
146,10337,72,278.0,25,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
147,10372,72,278.0,42,0.25,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
148,10390,72,278.0,24,0.10000000099999999,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
149,10396,72,278.0,21,0.0,Mishi Kobe Niku,4,6,18 штук по 500 г,4365.0,29,0,0,1,Мясо/птица,Мясные полуфабрикаты и готовые изделия
